annee;scenario;solde_moins_favorable_pib;solde_plus_favorable_pib
2024;Sans réforme;-0.00200;-0.00200
2025;Sans réforme;-0.00233;-0.00233
2026;Sans réforme;-0.00267;-0.00267
2027;Sans réforme;-0.00300;-0.00300
2028;Sans réforme;-0.00333;-0.00333
2029;Sans réforme;-0.00367;-0.00367
2030;Sans réforme;-0.00400;-0.00400
2031;Sans réforme;-0.00410;-0.00410
2032;Sans réforme;-0.00420;-0.00420
2033;Sans réforme;-0.00430;-0.00430
2034;Sans réforme;-0.00440;-0.00440
2035;Sans réforme;-0.00450;-0.00450
2036;Sans réforme;-0.00460;-0.00460
2037;Sans réforme;-0.00470;-0.00470
2038;Sans réforme;-0.00480;-0.00480
2039;Sans réforme;-0.00490;-0.00490
2040;Sans réforme;-0.00500;-0.00500
2041;Sans réforme;-0.00510;-0.00510
2042;Sans réforme;-0.00520;-0.00520
2043;Sans réforme;-0.00530;-0.00530
2044;Sans réforme;-0.00540;-0.00540
2045;Sans réforme;-0.00550;-0.00550
2046;Sans réforme;-0.00560;-0.00560
2047;Sans réforme;-0.00570;-0.00570
2048;Sans réforme;-0.00580;-0.00580
2049;Sans réforme;-0.00590;-0.00590
2050;Sans réforme;-0.00600;-0.00600
2051;Sans réforme;-0.00610;-0.00610
2052;Sans réforme;-0.00620;-0.00620
2053;Sans réforme;-0.00630;-0.00630
2054;Sans réforme;-0.00640;-0.00640
2055;Sans réforme;-0.00650;-0.00650
2056;Sans réforme;-0.00660;-0.00660
2057;Sans réforme;-0.00670;-0.00670
2058;Sans réforme;-0.00680;-0.00680
2059;Sans réforme;-0.00690;-0.00690
2060;Sans réforme;-0.00700;-0.00700
2061;Sans réforme;-0.00710;-0.00710
2062;Sans réforme;-0.00720;-0.00720
2063;Sans réforme;-0.00730;-0.00730
2064;Sans réforme;-0.00740;-0.00740
2065;Sans réforme;-0.00750;-0.00750
2066;Sans réforme;-0.00760;-0.00760
2067;Sans réforme;-0.00770;-0.00770
2068;Sans réforme;-0.00780;-0.00780
2069;Sans réforme;-0.00790;-0.00790
2070;Sans réforme;-0.00800;-0.00800
2024;Nouvelle Convergence;-0.00200;-0.00200
2025;Nouvelle Convergence;-0.00233;-0.00233
2026;Nouvelle Convergence;-0.00267;-0.00267
2027;Nouvelle Convergence;-0.00300;-0.00300
2028;Nouvelle Convergence;-0.00088;-0.00035
2029;Nouvelle Convergence;-0.00200;-0.00119
2030;Nouvelle Convergence;-0.00200;-0.00165
2031;Nouvelle Convergence;-0.00184;-0.00159
2032;Nouvelle Convergence;-0.00168;-0.00153
2033;Nouvelle Convergence;-0.00153;-0.00147
2034;Nouvelle Convergence;-0.00141;-0.00137
2035;Nouvelle Convergence;-0.00124;-0.00104
2036;Nouvelle Convergence;-0.00108;-0.00072
2037;Nouvelle Convergence;-0.00091;-0.00039
2038;Nouvelle Convergence;-0.00088;-0.00027
2039;Nouvelle Convergence;-0.00085;-0.00014
2040;Nouvelle Convergence;-0.00081;-0.00002
2041;Nouvelle Convergence;-0.00078;0.00011
2042;Nouvelle Convergence;-0.00074;0.00023
2043;Nouvelle Convergence;-0.00071;0.00036
2044;Nouvelle Convergence;-0.00070;0.00042
2045;Nouvelle Convergence;-0.00070;0.00049
2046;Nouvelle Convergence;-0.00069;0.00055
2047;Nouvelle Convergence;-0.00069;0.00062
2048;Nouvelle Convergence;-0.00068;0.00068
2049;Nouvelle Convergence;-0.00068;0.00075
2050;Nouvelle Convergence;-0.00067;0.00081
2051;Nouvelle Convergence;-0.00066;0.00088
2052;Nouvelle Convergence;-0.00066;0.00094
2053;Nouvelle Convergence;-0.00066;0.00101
2054;Nouvelle Convergence;-0.00065;0.00108
2055;Nouvelle Convergence;-0.00065;0.00114
2056;Nouvelle Convergence;-0.00064;0.00121
2057;Nouvelle Convergence;-0.00064;0.00127
2058;Nouvelle Convergence;-0.00063;0.00134
2059;Nouvelle Convergence;-0.00063;0.00141
2060;Nouvelle Convergence;-0.00062;0.00147
2061;Nouvelle Convergence;-0.00061;0.00154
2062;Nouvelle Convergence;-0.00061;0.00160
2063;Nouvelle Convergence;-0.00060;0.00167
2064;Nouvelle Convergence;-0.00060;0.00174
2065;Nouvelle Convergence;-0.00060;0.00180
2066;Nouvelle Convergence;-0.00059;0.00187
2067;Nouvelle Convergence;-0.00059;0.00193
2068;Nouvelle Convergence;-0.00058;0.00200
2069;Nouvelle Convergence;-0.00058;0.00207
2070;Nouvelle Convergence;-0.00057;0.00213
2024;Suède 1994;-0.00200;-0.00200
2025;Suède 1994;-0.00233;-0.00233
2026;Suède 1994;-0.00267;-0.00267
2027;Suède 1994;-0.00300;-0.00300
2028;Suède 1994;-0.00241;-0.00241
2029;Suède 1994;-0.00200;-0.00200
2030;Suède 1994;-0.00200;-0.00200
2031;Suède 1994;-0.00200;-0.00200
2032;Suède 1994;-0.00200;-0.00200
2033;Suède 1994;-0.00200;-0.00200
2034;Suède 1994;-0.00200;-0.00200
2035;Suède 1994;-0.00200;-0.00200
2036;Suède 1994;-0.00200;-0.00200
2037;Suède 1994;-0.00200;-0.00200
