annee;scenario;solde_moins_favorable_pib;solde_plus_favorable_pib
2024;Système actuel (Renaissance / Ensemble);-0.00200;-0.00200
2025;Système actuel (Renaissance / Ensemble);-0.00233;-0.00233
2026;Système actuel (Renaissance / Ensemble);-0.00267;-0.00267
2027;Système actuel (Renaissance / Ensemble);-0.00300;-0.00300
2028;Système actuel (Renaissance / Ensemble);-0.00333;-0.00333
2029;Système actuel (Renaissance / Ensemble);-0.00367;-0.00367
2030;Système actuel (Renaissance / Ensemble);-0.00400;-0.00400
2031;Système actuel (Renaissance / Ensemble);-0.00410;-0.00410
2032;Système actuel (Renaissance / Ensemble);-0.00420;-0.00420
2033;Système actuel (Renaissance / Ensemble);-0.00430;-0.00430
2034;Système actuel (Renaissance / Ensemble);-0.00440;-0.00440
2035;Système actuel (Renaissance / Ensemble);-0.00450;-0.00450
2036;Système actuel (Renaissance / Ensemble);-0.00460;-0.00460
2037;Système actuel (Renaissance / Ensemble);-0.00470;-0.00470
2038;Système actuel (Renaissance / Ensemble);-0.00480;-0.00480
2039;Système actuel (Renaissance / Ensemble);-0.00490;-0.00490
2040;Système actuel (Renaissance / Ensemble);-0.00500;-0.00500
2041;Système actuel (Renaissance / Ensemble);-0.00510;-0.00510
2042;Système actuel (Renaissance / Ensemble);-0.00520;-0.00520
2043;Système actuel (Renaissance / Ensemble);-0.00530;-0.00530
2044;Système actuel (Renaissance / Ensemble);-0.00540;-0.00540
2045;Système actuel (Renaissance / Ensemble);-0.00550;-0.00550
2046;Système actuel (Renaissance / Ensemble);-0.00560;-0.00560
2047;Système actuel (Renaissance / Ensemble);-0.00570;-0.00570
2048;Système actuel (Renaissance / Ensemble);-0.00580;-0.00580
2049;Système actuel (Renaissance / Ensemble);-0.00590;-0.00590
2050;Système actuel (Renaissance / Ensemble);-0.00600;-0.00600
2051;Système actuel (Renaissance / Ensemble);-0.00610;-0.00610
2052;Système actuel (Renaissance / Ensemble);-0.00620;-0.00620
2053;Système actuel (Renaissance / Ensemble);-0.00630;-0.00630
2054;Système actuel (Renaissance / Ensemble);-0.00640;-0.00640
2055;Système actuel (Renaissance / Ensemble);-0.00650;-0.00650
2056;Système actuel (Renaissance / Ensemble);-0.00660;-0.00660
2057;Système actuel (Renaissance / Ensemble);-0.00670;-0.00670
2058;Système actuel (Renaissance / Ensemble);-0.00680;-0.00680
2059;Système actuel (Renaissance / Ensemble);-0.00690;-0.00690
2060;Système actuel (Renaissance / Ensemble);-0.00700;-0.00700
2061;Système actuel (Renaissance / Ensemble);-0.00710;-0.00710
2062;Système actuel (Renaissance / Ensemble);-0.00720;-0.00720
2063;Système actuel (Renaissance / Ensemble);-0.00730;-0.00730
2064;Système actuel (Renaissance / Ensemble);-0.00740;-0.00740
2065;Système actuel (Renaissance / Ensemble);-0.00750;-0.00750
2066;Système actuel (Renaissance / Ensemble);-0.00760;-0.00760
2067;Système actuel (Renaissance / Ensemble);-0.00770;-0.00770
2068;Système actuel (Renaissance / Ensemble);-0.00780;-0.00780
2069;Système actuel (Renaissance / Ensemble);-0.00790;-0.00790
2070;Système actuel (Renaissance / Ensemble);-0.00800;-0.00800
2024;Cap proposé;-0.00200;-0.00200
2025;Cap proposé;-0.00233;-0.00233
2026;Cap proposé;-0.00267;-0.00267
2027;Cap proposé;-0.00300;-0.00300
2028;Cap proposé;-0.00088;-0.00035
2029;Cap proposé;-0.00200;-0.00119
2030;Cap proposé;-0.00200;-0.00165
2031;Cap proposé;-0.00184;-0.00159
2032;Cap proposé;-0.00168;-0.00153
2033;Cap proposé;-0.00153;-0.00147
2034;Cap proposé;-0.00141;-0.00137
2035;Cap proposé;-0.00124;-0.00104
2036;Cap proposé;-0.00108;-0.00072
2037;Cap proposé;-0.00091;-0.00039
2038;Cap proposé;-0.00088;-0.00027
2039;Cap proposé;-0.00085;-0.00014
2040;Cap proposé;-0.00081;-0.00002
2041;Cap proposé;-0.00078;0.00011
2042;Cap proposé;-0.00074;0.00023
2043;Cap proposé;-0.00071;0.00036
2044;Cap proposé;-0.00070;0.00042
2045;Cap proposé;-0.00070;0.00049
2046;Cap proposé;-0.00069;0.00055
2047;Cap proposé;-0.00069;0.00062
2048;Cap proposé;-0.00068;0.00068
2049;Cap proposé;-0.00068;0.00075
2050;Cap proposé;-0.00067;0.00081
2051;Cap proposé;-0.00066;0.00088
2052;Cap proposé;-0.00066;0.00094
2053;Cap proposé;-0.00066;0.00101
2054;Cap proposé;-0.00065;0.00108
2055;Cap proposé;-0.00065;0.00114
2056;Cap proposé;-0.00064;0.00121
2057;Cap proposé;-0.00064;0.00127
2058;Cap proposé;-0.00063;0.00134
2059;Cap proposé;-0.00063;0.00141
2060;Cap proposé;-0.00062;0.00147
2061;Cap proposé;-0.00061;0.00154
2062;Cap proposé;-0.00061;0.00160
2063;Cap proposé;-0.00060;0.00167
2064;Cap proposé;-0.00060;0.00174
