annee;programme;valeur
2028.00000;Courbe commune à 5 programmes;1500.00000
2029.00000;Courbe commune à 5 programmes;1500.00000
2030.00000;Courbe commune à 5 programmes;1500.00000
2031.00000;Courbe commune à 5 programmes;1500.00000
2032.00000;Courbe commune à 5 programmes;1500.00000
2033.00000;Courbe commune à 5 programmes;1500.00000
2034.00000;Courbe commune à 5 programmes;1500.00000
2035.00000;Courbe commune à 5 programmes;1500.00000
2036.00000;Courbe commune à 5 programmes;1500.00000
2037.00000;Courbe commune à 5 programmes;1500.00000
2038.00000;Courbe commune à 5 programmes;1500.00000
2039.00000;Courbe commune à 5 programmes;1500.00000
2040.00000;Courbe commune à 5 programmes;1500.00000
2041.00000;Courbe commune à 5 programmes;1500.00000
2042.00000;Courbe commune à 5 programmes;1500.00000
2043.00000;Courbe commune à 5 programmes;1500.00000
2044.00000;Courbe commune à 5 programmes;1500.00000
2045.00000;Courbe commune à 5 programmes;1500.00000
2046.00000;Courbe commune à 5 programmes;1500.00000
2047.00000;Courbe commune à 5 programmes;1500.00000
2048.00000;Courbe commune à 5 programmes;1500.00000
2049.00000;Courbe commune à 5 programmes;1500.00000
2050.00000;Courbe commune à 5 programmes;1500.00000
2051.00000;Courbe commune à 5 programmes;1500.00000
2052.00000;Courbe commune à 5 programmes;1500.00000
2053.00000;Courbe commune à 5 programmes;1500.00000
2054.00000;Courbe commune à 5 programmes;1500.00000
2055.00000;Courbe commune à 5 programmes;1500.00000
2056.00000;Courbe commune à 5 programmes;1500.00000
2057.00000;Courbe commune à 5 programmes;1500.00000
2058.00000;Courbe commune à 5 programmes;1500.00000
2059.00000;Courbe commune à 5 programmes;1500.00000
2060.00000;Courbe commune à 5 programmes;1500.00000
2061.00000;Courbe commune à 5 programmes;1500.00000
2062.00000;Courbe commune à 5 programmes;1500.00000
2063.00000;Courbe commune à 5 programmes;1500.00000
2064.00000;Courbe commune à 5 programmes;1500.00000
2065.00000;Courbe commune à 5 programmes;1500.00000
2066.00000;Courbe commune à 5 programmes;1500.00000
2067.00000;Courbe commune à 5 programmes;1500.00000
2068.00000;Courbe commune à 5 programmes;1500.00000
2069.00000;Courbe commune à 5 programmes;1500.00000
2070.00000;Courbe commune à 5 programmes;1500.00000
2028.00000;Nouveau Front populaire;1504.78469
2029.00000;Nouveau Front populaire;1509.53895
2030.00000;Nouveau Front populaire;1514.26307
2031.00000;Nouveau Front populaire;1518.95735
2032.00000;Nouveau Front populaire;1523.62205
2033.00000;Nouveau Front populaire;1528.25746
2034.00000;Nouveau Front populaire;1532.36106
2035.00000;Nouveau Front populaire;1536.31487
2036.00000;Nouveau Front populaire;1540.72911
2037.00000;Nouveau Front populaire;1545.11639
2038.00000;Nouveau Front populaire;1549.47696
2039.00000;Nouveau Front populaire;1553.81105
2040.00000;Nouveau Front populaire;1558.11890
2041.00000;Nouveau Front populaire;1562.39933
2042.00000;Nouveau Front populaire;1566.65379
2043.00000;Nouveau Front populaire;1570.88252
2044.00000;Nouveau Front populaire;1575.08575
2045.00000;Nouveau Front populaire;1579.26370
2046.00000;Nouveau Front populaire;1583.41659
2047.00000;Nouveau Front populaire;1587.54464
2048.00000;Nouveau Front populaire;1591.64808
2049.00000;Nouveau Front populaire;1595.72711
2050.00000;Nouveau Front populaire;1599.78195
2051.00000;Nouveau Front populaire;1603.81643
2052.00000;Nouveau Front populaire;1607.82741
2053.00000;Nouveau Front populaire;1607.82366
2054.00000;Nouveau Front populaire;1607.81991
2055.00000;Nouveau Front populaire;1607.81614
2056.00000;Nouveau Front populaire;1607.81237
2057.00000;Nouveau Front populaire;1607.80859
2058.00000;Nouveau Front populaire;1607.80480
2059.00000;Nouveau Front populaire;1607.80100
2060.00000;Nouveau Front populaire;1607.79719
2061.00000;Nouveau Front populaire;1607.79337
2062.00000;Nouveau Front populaire;1607.78955
2063.00000;Nouveau Front populaire;1607.78571
2064.00000;Nouveau Front populaire;1607.78187
2065.00000;Nouveau Front populaire;1607.77802
2066.00000;Nouveau Front populaire;1607.77415
2067.00000;Nouveau Front populaire;1607.77028
2068.00000;Nouveau Front populaire;1607.76641
2069.00000;Nouveau Front populaire;1607.76252
2070.00000;Nouveau Front populaire;1607.75862
