annee;programme;valeur
2028.00000;Système actuel (Renaissance / Ensemble);26.66667
2029.00000;Système actuel (Renaissance / Ensemble);29.33333
2030.00000;Système actuel (Renaissance / Ensemble);32.00000
2031.00000;Système actuel (Renaissance / Ensemble);32.80000
2032.00000;Système actuel (Renaissance / Ensemble);33.60000
2033.00000;Système actuel (Renaissance / Ensemble);34.40000
2034.00000;Système actuel (Renaissance / Ensemble);35.20000
2035.00000;Système actuel (Renaissance / Ensemble);36.00000
2036.00000;Système actuel (Renaissance / Ensemble);36.80000
2037.00000;Système actuel (Renaissance / Ensemble);37.60000
2038.00000;Système actuel (Renaissance / Ensemble);38.40000
2039.00000;Système actuel (Renaissance / Ensemble);39.20000
2040.00000;Système actuel (Renaissance / Ensemble);40.00000
2041.00000;Système actuel (Renaissance / Ensemble);40.80000
2042.00000;Système actuel (Renaissance / Ensemble);41.60000
2043.00000;Système actuel (Renaissance / Ensemble);42.40000
2044.00000;Système actuel (Renaissance / Ensemble);43.20000
2045.00000;Système actuel (Renaissance / Ensemble);44.00000
2046.00000;Système actuel (Renaissance / Ensemble);44.80000
2047.00000;Système actuel (Renaissance / Ensemble);45.60000
2048.00000;Système actuel (Renaissance / Ensemble);46.40000
2049.00000;Système actuel (Renaissance / Ensemble);47.20000
2050.00000;Système actuel (Renaissance / Ensemble);48.00000
2051.00000;Système actuel (Renaissance / Ensemble);48.80000
2052.00000;Système actuel (Renaissance / Ensemble);49.60000
2053.00000;Système actuel (Renaissance / Ensemble);50.40000
2054.00000;Système actuel (Renaissance / Ensemble);51.20000
2055.00000;Système actuel (Renaissance / Ensemble);52.00000
2056.00000;Système actuel (Renaissance / Ensemble);52.80000
2057.00000;Système actuel (Renaissance / Ensemble);53.60000
2058.00000;Système actuel (Renaissance / Ensemble);54.40000
2059.00000;Système actuel (Renaissance / Ensemble);55.20000
2060.00000;Système actuel (Renaissance / Ensemble);56.00000
2061.00000;Système actuel (Renaissance / Ensemble);56.80000
2062.00000;Système actuel (Renaissance / Ensemble);57.60000
2063.00000;Système actuel (Renaissance / Ensemble);58.40000
2064.00000;Système actuel (Renaissance / Ensemble);59.20000
2065.00000;Système actuel (Renaissance / Ensemble);60.00000
2066.00000;Système actuel (Renaissance / Ensemble);60.80000
2067.00000;Système actuel (Renaissance / Ensemble);61.60000
2068.00000;Système actuel (Renaissance / Ensemble);62.40000
2069.00000;Système actuel (Renaissance / Ensemble);63.20000
2070.00000;Système actuel (Renaissance / Ensemble);64.00000
2028.00000;Cap proposé;30.82667
2029.00000;Cap proposé;37.49333
2030.00000;Cap proposé;41.20000
2031.00000;Cap proposé;40.72000
2032.00000;Cap proposé;40.24000
2033.00000;Cap proposé;39.76000
2034.00000;Cap proposé;39.28000
2035.00000;Cap proposé;37.96000
2036.00000;Cap proposé;36.64000
2037.00000;Cap proposé;35.32000
2038.00000;Cap proposé;35.04000
2039.00000;Cap proposé;34.76000
2040.00000;Cap proposé;34.48000
2041.00000;Cap proposé;34.20000
2042.00000;Cap proposé;33.92000
2043.00000;Cap proposé;33.64000
2044.00000;Cap proposé;33.60000
2045.00000;Cap proposé;33.56000
2046.00000;Cap proposé;33.52000
2047.00000;Cap proposé;33.48000
2048.00000;Cap proposé;33.44000
2049.00000;Cap proposé;33.40000
2050.00000;Cap proposé;33.36000
