annee;programme;valeur
2024.00000;Système actuel (Renaissance / Ensemble);-5.87040
2025.00000;Système actuel (Renaissance / Ensemble);-6.91729
2026.00000;Système actuel (Renaissance / Ensemble);-7.98453
2027.00000;Système actuel (Renaissance / Ensemble);-9.07242
2028.00000;Système actuel (Renaissance / Ensemble);-10.18127
2029.00000;Système actuel (Renaissance / Ensemble);-11.31139
2030.00000;Système actuel (Renaissance / Ensemble);-12.46310
2031.00000;Système actuel (Renaissance / Ensemble);-12.90242
2032.00000;Système actuel (Renaissance / Ensemble);-13.34928
2033.00000;Système actuel (Renaissance / Ensemble);-13.80380
2034.00000;Système actuel (Renaissance / Ensemble);-14.26606
2035.00000;Système actuel (Renaissance / Ensemble);-14.73619
2036.00000;Système actuel (Renaissance / Ensemble);-15.21430
2037.00000;Système actuel (Renaissance / Ensemble);-15.70050
2038.00000;Système actuel (Renaissance / Ensemble);-16.19490
2039.00000;Système actuel (Renaissance / Ensemble);-16.69761
2040.00000;Système actuel (Renaissance / Ensemble);-17.20876
2041.00000;Système actuel (Renaissance / Ensemble);-17.72847
2042.00000;Système actuel (Renaissance / Ensemble);-18.25685
2043.00000;Système actuel (Renaissance / Ensemble);-18.79402
2044.00000;Système actuel (Renaissance / Ensemble);-19.34011
2045.00000;Système actuel (Renaissance / Ensemble);-19.89524
2046.00000;Système actuel (Renaissance / Ensemble);-20.45954
2047.00000;Système actuel (Renaissance / Ensemble);-21.03314
2048.00000;Système actuel (Renaissance / Ensemble);-21.61617
2049.00000;Système actuel (Renaissance / Ensemble);-22.20875
2050.00000;Système actuel (Renaissance / Ensemble);-22.81102
2051.00000;Système actuel (Renaissance / Ensemble);-23.42311
2052.00000;Système actuel (Renaissance / Ensemble);-24.04517
2053.00000;Système actuel (Renaissance / Ensemble);-24.67733
2054.00000;Système actuel (Renaissance / Ensemble);-25.31972
2055.00000;Système actuel (Renaissance / Ensemble);-25.97249
2056.00000;Système actuel (Renaissance / Ensemble);-26.63579
2057.00000;Système actuel (Renaissance / Ensemble);-27.30976
2058.00000;Système actuel (Renaissance / Ensemble);-27.99454
2059.00000;Système actuel (Renaissance / Ensemble);-28.69029
2060.00000;Système actuel (Renaissance / Ensemble);-29.39715
2061.00000;Système actuel (Renaissance / Ensemble);-30.11528
2062.00000;Système actuel (Renaissance / Ensemble);-30.84483
2063.00000;Système actuel (Renaissance / Ensemble);-31.58596
2064.00000;Système actuel (Renaissance / Ensemble);-32.33883
2065.00000;Système actuel (Renaissance / Ensemble);-33.10360
2066.00000;Système actuel (Renaissance / Ensemble);-33.88044
2067.00000;Système actuel (Renaissance / Ensemble);-34.66949
2068.00000;Système actuel (Renaissance / Ensemble);-35.47094
2069.00000;Système actuel (Renaissance / Ensemble);-36.28496
2070.00000;Système actuel (Renaissance / Ensemble);-37.11170
2024.00000;Cap proposé;-5.87040
2025.00000;Cap proposé;-6.91729
2026.00000;Cap proposé;-7.98453
2027.00000;Cap proposé;-9.07242
2028.00000;Cap proposé;-1.07921
2029.00000;Cap proposé;-3.66078
2030.00000;Cap proposé;-5.14103
2031.00000;Cap proposé;-5.00362
2032.00000;Cap proposé;-4.86295
2033.00000;Cap proposé;-4.71897
2034.00000;Cap proposé;-4.57162
2035.00000;Cap proposé;-4.07701
2036.00000;Cap proposé;-3.57205
2037.00000;Cap proposé;-3.05659
2038.00000;Cap proposé;-2.96906
2039.00000;Cap proposé;-2.87949
2040.00000;Cap proposé;-2.78782
2041.00000;Cap proposé;-2.69403
2042.00000;Cap proposé;-2.59809
2043.00000;Cap proposé;-2.49996
2044.00000;Cap proposé;-2.50705
2045.00000;Cap proposé;-2.51404
2046.00000;Cap proposé;-2.52091
2047.00000;Cap proposé;-2.52767
2048.00000;Cap proposé;-2.53431
2049.00000;Cap proposé;-2.54083
2050.00000;Cap proposé;-2.54723
2051.00000;Cap proposé;-2.55350
2052.00000;Cap proposé;-2.55965
2053.00000;Cap proposé;-2.56566
2054.00000;Cap proposé;-2.57153
2055.00000;Cap proposé;-2.57727
2056.00000;Cap proposé;-2.58286
2057.00000;Cap proposé;-2.58831
2058.00000;Cap proposé;-2.59361
2059.00000;Cap proposé;-2.59876
2060.00000;Cap proposé;-2.60375
2061.00000;Cap proposé;-2.60858
2062.00000;Cap proposé;-2.61324
2063.00000;Cap proposé;-2.61774
2064.00000;Cap proposé;-2.62207
2065.00000;Cap proposé;-2.62622
2066.00000;Cap proposé;-2.63019
2067.00000;Cap proposé;-2.63398
2068.00000;Cap proposé;-2.63758
2069.00000;Cap proposé;-2.64099
2070.00000;Cap proposé;-2.64421
2024.00000;Les Républicains;-5.87040
2025.00000;Les Républicains;-6.91729
2026.00000;Les Républicains;-7.98453
2027.00000;Les Républicains;-9.07242
2028.00000;Les Républicains;-9.78420
2029.00000;Les Républicains;-10.50931
2030.00000;Les Républicains;-11.24794
2031.00000;Les Républicains;-11.26602
2032.00000;Les Républicains;-11.28332
2033.00000;Les Républicains;-11.29985
2034.00000;Les Républicains;-9.95382
2035.00000;Les Républicains;-8.57974
2036.00000;Les Républicains;-7.17718
2037.00000;Les Républicains;-5.74571
2038.00000;Les Républicains;-4.72351
2039.00000;Les Républicains;-5.11151
2040.00000;Les Républicains;-5.50680
2041.00000;Les Républicains;-5.90949
2042.00000;Les Républicains;-6.31968
2043.00000;Les Républicains;-6.73748
2044.00000;Les Républicains;-7.16300
2045.00000;Les Républicains;-7.59637
2046.00000;Les Républicains;-8.03768
2047.00000;Les Républicains;-8.48706
2048.00000;Les Républicains;-8.94462
2049.00000;Les Républicains;-9.41049
2050.00000;Les Républicains;-9.88477
2051.00000;Les Républicains;-10.36761
2052.00000;Les Républicains;-10.85911
2053.00000;Les Républicains;-11.35940
2054.00000;Les Républicains;-11.86862
2055.00000;Les Républicains;-12.38688
2056.00000;Les Républicains;-12.91432
2057.00000;Les Républicains;-13.45107
2058.00000;Les Républicains;-13.99727
2059.00000;Les Républicains;-14.55304
2060.00000;Les Républicains;-15.11853
