annee;scenario;solde_moins_favorable_pib;solde_plus_favorable_pib
2024;Sans réforme;-0.00200;-0.00200
2025;Sans réforme;-0.00233;-0.00233
2026;Sans réforme;-0.00267;-0.00267
2027;Sans réforme;-0.00300;-0.00300
2028;Sans réforme;-0.00333;-0.00333
2029;Sans réforme;-0.00367;-0.00367
2030;Sans réforme;-0.00400;-0.00400
2031;Sans réforme;-0.00410;-0.00410
2032;Sans réforme;-0.00420;-0.00420
2033;Sans réforme;-0.00430;-0.00430
2034;Sans réforme;-0.00440;-0.00440
2035;Sans réforme;-0.00450;-0.00450
2036;Sans réforme;-0.00460;-0.00460
2037;Sans réforme;-0.00470;-0.00470
2038;Sans réforme;-0.00480;-0.00480
2039;Sans réforme;-0.00490;-0.00490
2040;Sans réforme;-0.00500;-0.00500
2041;Sans réforme;-0.00510;-0.00510
2042;Sans réforme;-0.00520;-0.00520
2043;Sans réforme;-0.00530;-0.00530
2044;Sans réforme;-0.00540;-0.00540
2045;Sans réforme;-0.00550;-0.00550
2046;Sans réforme;-0.00560;-0.00560
2047;Sans réforme;-0.00570;-0.00570
2048;Sans réforme;-0.00580;-0.00580
2049;Sans réforme;-0.00590;-0.00590
2050;Sans réforme;-0.00600;-0.00600
2051;Sans réforme;-0.00610;-0.00610
2052;Sans réforme;-0.00620;-0.00620
2053;Sans réforme;-0.00630;-0.00630
2054;Sans réforme;-0.00640;-0.00640
2055;Sans réforme;-0.00650;-0.00650
2056;Sans réforme;-0.00660;-0.00660
2057;Sans réforme;-0.00670;-0.00670
2058;Sans réforme;-0.00680;-0.00680
2059;Sans réforme;-0.00690;-0.00690
2060;Sans réforme;-0.00700;-0.00700
2061;Sans réforme;-0.00710;-0.00710
2062;Sans réforme;-0.00720;-0.00720
2063;Sans réforme;-0.00730;-0.00730
2064;Sans réforme;-0.00740;-0.00740
2065;Sans réforme;-0.00750;-0.00750
2066;Sans réforme;-0.00760;-0.00760
2067;Sans réforme;-0.00770;-0.00770
2068;Sans réforme;-0.00780;-0.00780
2069;Sans réforme;-0.00790;-0.00790
2070;Sans réforme;-0.00800;-0.00800
2024;Réforme actuelle (fiche #6);-0.00200;-0.00200
2025;Réforme actuelle (fiche #6);-0.00233;-0.00233
2026;Réforme actuelle (fiche #6);-0.00267;-0.00267
2027;Réforme actuelle (fiche #6);-0.00300;-0.00300
2028;Réforme actuelle (fiche #6);-0.00324;-0.00271
2029;Réforme actuelle (fiche #6);-0.00343;-0.00241
2030;Réforme actuelle (fiche #6);-0.00294;-0.00200
2031;Réforme actuelle (fiche #6);-0.00200;-0.00195
2032;Réforme actuelle (fiche #6);-0.00189;-0.00185
2033;Réforme actuelle (fiche #6);-0.00184;-0.00170
2034;Réforme actuelle (fiche #6);-0.00178;-0.00155
2035;Réforme actuelle (fiche #6);-0.00173;-0.00140
2036;Réforme actuelle (fiche #6);-0.00167;-0.00124
2037;Réforme actuelle (fiche #6);-0.00162;-0.00109
2038;Réforme actuelle (fiche #6);-0.00170;-0.00114
2039;Réforme actuelle (fiche #6);-0.00177;-0.00119
2040;Réforme actuelle (fiche #6);-0.00185;-0.00124
2041;Réforme actuelle (fiche #6);-0.00192;-0.00129
2042;Réforme actuelle (fiche #6);-0.00200;-0.00134
2043;Réforme actuelle (fiche #6);-0.00200;-0.00139
2044;Réforme actuelle (fiche #6);-0.00200;-0.00150
2045;Réforme actuelle (fiche #6);-0.00200;-0.00161
2046;Réforme actuelle (fiche #6);-0.00200;-0.00172
2047;Réforme actuelle (fiche #6);-0.00200;-0.00183
2048;Réforme actuelle (fiche #6);-0.00200;-0.00194
2049;Réforme actuelle (fiche #6);-0.00200;-0.00200
2050;Réforme actuelle (fiche #6);-0.00200;-0.00200
2051;Réforme actuelle (fiche #6);-0.00200;-0.00200
2052;Réforme actuelle (fiche #6);-0.00200;-0.00200
2053;Réforme actuelle (fiche #6);-0.00200;-0.00200
2054;Réforme actuelle (fiche #6);-0.00200;-0.00200
2055;Réforme actuelle (fiche #6);-0.00200;-0.00200
2056;Réforme actuelle (fiche #6);-0.00200;-0.00200
2057;Réforme actuelle (fiche #6);-0.00200;-0.00200
2058;Réforme actuelle (fiche #6);-0.00200;-0.00200
2059;Réforme actuelle (fiche #6);-0.00200;-0.00200
2060;Réforme actuelle (fiche #6);-0.00200;-0.00200
2061;Réforme actuelle (fiche #6);-0.00200;-0.00200
2062;Réforme actuelle (fiche #6);-0.00200;-0.00200
2063;Réforme actuelle (fiche #6);-0.00200;-0.00200
2064;Réforme actuelle (fiche #6);-0.00200;-0.00200
2065;Réforme actuelle (fiche #6);-0.00200;-0.00200
2066;Réforme actuelle (fiche #6);-0.00200;-0.00200
2067;Réforme actuelle (fiche #6);-0.00200;-0.00200
2068;Réforme actuelle (fiche #6);-0.00200;-0.00200
2069;Réforme actuelle (fiche #6);-0.00200;-0.00200
2070;Réforme actuelle (fiche #6);-0.00200;-0.00200
2024;Réforme actuelle + fonds collectif;-0.00200;-0.00200
2025;Réforme actuelle + fonds collectif;-0.00233;-0.00233
2026;Réforme actuelle + fonds collectif;-0.00267;-0.00267
